record_id,time,victim,narrative,date_raw,source_page,notes
41,1020 - 1022 HRS.,CHICAGO RESIDENT,"offender #1: m/b, dark skinned, 19 - 20 yoa, 5'08"", 140 lbs., tattoo on his right hand wearing a blue hooded jacket with red stripes on the sleeves and a black mask. offender #2: m/b, light skinned, 19 -20 yoa, 5'10""-5'11"", 140 lbs., wearing a black hat, black jacket and tan pants. offender #3: f/b, medium complexion, 19 - 20 yoa, short stature, medium length hair. offender #1 & #2 exited a small possible tan colored vehicle and approached the victim. offender #1 who was carrying a silver colored handgun demanded the victim's property. offender #2 removed the victim's samsung cellular phone, wallet, and a purple/gold hat from the victim's coat pockets. offenders then fled in the vehicle which was occupied by offender #3. estimated loss $525.00",19-FEB-20,1.0,
42,2153HRS,OAK PARK RESIDENTS,male juvenile from chicago was arrested at 600 block of s. harvey after he was identified as the subject who threatened two victims sitting in their vehicle by pulling up his shirt to reveal a handgun. subject was placed under arrest. subject gave conflicting names. while subject was being processed he was found to have an active warrant for violation of probation. addiotnally while subject was being processed he damaged wall in processing area. the handgun was recovered and subject was charged with agg uuw x2/outside warrant/ criminal damage to government supported property/ agg. assault and obstruction. juvenile was turned over to juvenile detention center.,14MAY22,3.0,
43,0045 HRS.,CICERO RESIDENT,"while driving, the victim stopped at the austin traffic light in the southbound lane. offender #1: m/b, 5'11""-6'00"", long dreadlocks, goatee, wearing all black clothing, red ""jordan"" gym shoes and offender #2: m/b, wearing all black clothing wih hood pulled over head emerged from an uknown direction and stood in front of the victim's black 2017 jeep wrangler. offender #1 displayed a black semi-automatic handgun, pointed it at the victim and demanded that he exit the vehicle. he complied. offender #1 then removed the victim's blue ""holister"" jean jacket and green with brown laces ""nike dunk"" gym shoes and fled on foot eastbound across jackson towards the bus turnaround. offender #2 fled on foot westbound. loss estimated at $280.00.",18-OCT-21,3.0,
44,1555 HRS.,WOODALE RESIDENT,"offender #1:m/b, late teens-early 20`s, 5`6, thin build, wearing a black jacket with a dark blue hooded sweatshirt underneath, dark pants, and white shoes and offender #2:m/b, late teens to early 20`s, 5`6, thin build, wearing a long sleeve dark shirt, dark sweatpants with white drawstrings, dark shoes, and a gray mask concealing the bottom half of his face, approached the victim and ordered him to get on the ground. offender #1 then entered the employee side of the counter and attempted to open the register drawer. after offender #1 was unable to open the register, he ordered the victim to do so. the victim opened the drawer and offender #1 removed usc. both offenders then fled the store. estimated loss is $350.00",08-APR-18,3.0,
45,1536 HRS.,BERWYN RESIDENT,"subject: jones, ronald 37 yoa of 7200 block of adams, forest park, il was stopped by the forest park p.d. and tot the oak park p.d in reference to a hit & run-traffic crash investigation that occurred at 700 block of jackson. subjects vehicle was idenified as the vehicle that stuck a cyclist near euclid and jackson. the cyclist was struck and briefly dragged by vehicle before vehicle fled scene. investigation revealed jones to be the driver and after review of incident by the cook county states attorney, felony charges were approved. victim was transported to loyola hospital and treated for non-life-threatening injuries. subject was charged, processed and held for bond hearings.",28-MAY-22,1.0,
46,1605-1606 HRS.,OAK PARK RESIDENT,"offender #1: m/b 15-20 yoa, wearing a gray hoody, black jacket, blue pants (joggers) with a shark on front. offender#2: m/b 15-20 yoa wearing a black skull cap, black jacket with gold trim around neck/waist, and black adidas joggers with white stripes down the side. offender #3: m/b, 15-20 yoa wearing black jacket with red writing on back, red hoody and acid wash jeans. offender #4: m/b, 15-20 yoa wearing black hoody, black adidas jacket with stripes down the sleeves, blue jeans, blue gym shoes and blur backpack gained entry to the victim's white 2019 hyundai ionic by means of closed but unlocked doors. once inside, (3) offenders ransacked the vehicle and the fourth acted as the lookout. no loss at time of report.",11-NOV-18,2.0,
47,1921 HRS.,TWO OAK PARK RESIDENTS,"offender #1: m/b, 20 yoa, 5'11"", 130 lbs., wearing a bandana over his face, a gray hooded sweatshirt, and unknown colored pants. offender #2: m/b, 20 yoa, 5'11"", 130 lbs, wearing a facial mask over the lower half of his face, a black t-shirt, and unknown colored pants. victims were appoached from behind by the two offenders. one of the offenders displayed a silver colored handgun and demanded the victim's property. the offenders were last seen running w/b on harvard with the victim's two apple i-phones and a wallet. offenders met with a third subject. third subject was described as a m/b, 5'10"", wearing a blue surgical mask, a red shirt, and dark pants. all subjects were last seen s/b on lombard. estimated loss $2,000.00",19-JUN-20,1.0,
48,0030 - 0418 HRS.,OAK PARK RESIDENT,"offender: m/u, wearing a white baseball hat, white bandana covering his face, white jersey with the number ""3"" and the name ""garcia"" on the back gained entry to the victim's residence by means of an unlocked rear door. once inside, offender removed a black timbuk2 bag containing an apple macbook pro, various computer accessories, an apple iphone 6, apple air pods, keys to the victim's garage / vehicle and a 50' samsung tv. offender then gained entry to the victim's garage by means of the key and removed the victim's blue 2017 honda pilot. a second vehicle parked in the garage was also ransacked and a brown cross body bag, wallet containing il/dl, debit card, gift cards and u.s.c. were removed. estimated loss $39,830.00",30-JUN-19,3.0,
49,1633 HRS.,TWO OAK PARK RESIDENTS,"offender #1: m/b, 18-20 yoa, wearing a black leather jacket with a white panel design and an unknown number on the right sleeve of the jacket. offender #2: m/b, 18-20 yoa, and offender #3 m/b, 18-20 yoa no further. the two victims were approached by the three offenders. offender #1 held the victim and then pushed him to the ground. offender #2 then displayed a black handgun and demanded the other victim's purse, cell phone, keys, and money. the offender(s) then fled in the victim(s) silver in color 2016 honda civic that was parked nearby. estimated loss $11,050.00. the vehicle was recovered on 09-feb-20 at 2216 hrs. by the chicago police department on the 200 block of n. parkside, chicago, il. no apprehensions.",08-FEB-20,3.0,
50,1930 HRS,FITZGERALDS FINE STATIONERY,"a witness heard banging in the rear of the business where her vehicle was parked and when she went to check she observed two subjects #1 m/b 16-18yoa thin build wearing all black clothing and a dark backpack, #2-m/b 16-18yoa thin build wearing a white & black jacket using a tool to hit an unknown object. subject #1 pulled out what appeared to be a black handgun from his waistband and pointed it at the witness. she went back inside and called 911. the police were already responding to a business alarm and found that the rear door frame had been damaged and found a safe belonging to the business in the alley which was recovered and returned to business owner. no other loss reported. damage estimate is unknown.",07-FEB-23,3.0,
51,0000 HRS.,OAK PARK RESIDENT,"as the victim was exiting the business, the offender: m/u, no further, approached and requested ""spare change"". the victim refused and began to walk to the driver's door to her beige 2012 nissan altima in an attempt to open the driver's door. the offender approached again, placed a hard object on her stomach and believing the object to be a firearm, the victim complied. he then removed vehicle keys from her hand, entered said vehicle and drove away westbound north ave. loss estimated at $10,000.00. a short time later, the nissan was recovered by the maywood p.d. in the rear of 1400 block 0f s. 6th ave. investigation revealed the vehcile was on fire. no apprehensions. owner was notified.",03-APR-22,2.0,
